MoleculeType	Identifier	MoleculeName	
Proteins	A0M8Q6	UniProt:A0M8Q6 IGLC7	
Proteins	P18136	UniProt:P18136 Ig kappa chain V-III region HIC	
Proteins	P01721	UniProt:P01721 Ig lambda chain V-VI region AR	
Proteins	P01772	UniProt:P01772 Ig heavy chain V-III region KOL	
Proteins	P04438	UniProt:P04438 Ig heavy chain V-II region SESS	
Proteins	P06317	UniProt:P06317 Ig lambda chain V-VI region SUT	
Proteins	P01825	UniProt:P01825 Ig heavy chain V-II region NEWM	
Proteins	A2NJV5	UniProt:A2NJV5 IGKVA18	
Proteins	P01780	UniProt:P01780 Ig heavy chain V-III region JON	
Proteins	Q5NV90	UniProt:Q5NV90 IGLV3-25	
Proteins	P01782	UniProt:P01782 Ig heavy chain V-III region DOB	
Proteins	P01708	UniProt:P01708 Ig lambda chain V-II region BUR	
Proteins	P01613	UniProt:P01613 Ig kappa chain V-I region Ni	
Proteins	P80748	UniProt:P80748 Ig lambda chain V-III region LOI	
Proteins	Q5NV67	UniProt:Q5NV67 IGLV1-36	
Proteins	P01743	UniProt:P01743 Ig heavy chain V-I region HG3	
Proteins	P83593	UniProt:P83593 Ig kappa chain V-IV region STH	
Proteins	P01707	UniProt:P01707 Ig lambda chain V-II region TRO	
Proteins	P06309	UniProt:P06309 Ig kappa chain V-II region GM607	
Proteins	P01608	UniProt:P01608 Ig kappa chain V-I region Roy	
Proteins	P01617	UniProt:P01617 Ig kappa chain V-II region TEW	
Proteins	Q5NV64	UniProt:Q5NV64 IGLV3-16	
Proteins	Q5NV66	UniProt:Q5NV66 IGLV2-33	
Proteins	Q5NV87	UniProt:Q5NV87 IGLV11-55	
Proteins	P01611	UniProt:P01611 Ig kappa chain V-I region Wes	
Proteins	P01621	UniProt:P01621 Ig kappa chain V-III region NG9	
Proteins	P06318	UniProt:P06318 Ig lambda chain V-VI region WLT	
Proteins	P01761	UniProt:P01761 Ig heavy chain V-I region SIE	
Proteins	Q5NV91	UniProt:Q5NV91 IGLV3-27	
Proteins	P80362	UniProt:P80362 Ig kappa chain V-I region WAT	
Proteins	P01765	UniProt:P01765 Ig heavy chain V-III region TIL	
Proteins	Q5NV65	UniProt:Q5NV65 IGLV2-18	
Proteins	P01714	UniProt:P01714 Ig lambda chain V-III region SH	
Proteins	P01814	UniProt:P01814 Ig heavy chain V-II region OU	
Proteins	Q5NV62	UniProt:Q5NV62 IGLV8-61	
Proteins	P06314	UniProt:P06314 Ig kappa chain V-IV region B17	
Proteins	P01779	UniProt:P01779 Ig heavy chain V-III region TUR	
Proteins	P01764	UniProt:P01764 Ig heavy chain V-III region VH26	
Proteins	P01609	UniProt:P01609 Ig kappa chain V-I region Scw	
Proteins	P01712	UniProt:P01712 Ig lambda chain V-II region WIN	
Proteins	P01767	UniProt:P01767 Ig heavy chain V-III region BUT	
Proteins	P01817	UniProt:P01817 Ig heavy chain V-II region MCE	
Proteins	P01600	UniProt:P01600 Ig kappa chain V-I region Hau	
Proteins	Q5NV79	UniProt:Q5NV79 IGLV4-60	
Proteins	P01622	UniProt:P01622 Ig kappa chain V-III region Ti	
Proteins	Q5NV84	UniProt:Q5NV84 IGLV2-11	
Proteins	P01625	UniProt:P01625 Ig kappa chain V-IV region Len	
Proteins	Q5NV81	UniProt:Q5NV81 IGLV1-44	
Proteins	P01601	UniProt:P01601 Ig kappa chain V-I region HK101	
Proteins	P06316	UniProt:P06316 Ig lambda chain V-I region BL2	
Proteins	P01773	UniProt:P01773 Ig heavy chain V-III region BUR	
Proteins	P01781	UniProt:P01781 Ig heavy chain V-III region GAL	
Proteins	P01778	UniProt:P01778 Ig heavy chain V-III region ZAP	
